district,state,full_vaccination_any_source,full_vaccination_card_only,bcg_vaccination,polio_3_doses,dpt_3_doses,measles_first_dose,measles_second_dose,rotavirus_3_doses,hepatitis_3_doses,vitamin_a_supplementation,vaccinations_public_facility,vaccinations_private_facility
Nicobars,Andaman & Nicobar Islands,,,,,,,,,,94.9,,
North & Middle Andaman ,Andaman & Nicobar Islands,,,,,,,,,,,,
South Andaman ,Andaman & Nicobar Islands,,,,,,,,,,84.0,,
Srikakulam ,Andhra Pradesh,,,,,,,,,,69.6,,
Vizianagaram ,Andhra Pradesh,,,,,,,,,,85.9,,
Visakhapatnam ,Andhra Pradesh,,,,,,,,,,91.3,,
East Godavari ,Andhra Pradesh,,,,,,,,,,81.4,,
West Godavari ,Andhra Pradesh,,,,,,,,,,73.9,,
Krishna ,Andhra Pradesh,,,,,,,,,,81.0,,
Guntur ,Andhra Pradesh,,,,,,,,,,80.2,,
Prakasam ,Andhra Pradesh,,,,,,,,,,79.9,,
Sri Potti Sriramulu Nello ,Andhra Pradesh,65.3,,89.2,69.4,81.1,81.1,18.7,70.9,77.2,77.0,,
Y.S.R. ,Andhra Pradesh,83.0,89.7,92.0,84.9,88.9,88.7,26.4,87.5,89.0,90.1,98.3,1.7
Kurnool ,Andhra Pradesh,67.0,,95.9,69.0,86.3,84.1,22.3,69.1,76.6,79.1,100.0,0.0
Anantapur ,Andhra Pradesh,,,,,,,,,,75.7,,
Chittoor ,Andhra Pradesh,,,,,,,,,,76.9,,
Tawang ,Arunachal Pradesh,67.5,76.8,93.1,69.3,81.9,90.8,19.2,28.7,77.6,84.4,100.0,0.0
West Kameng ,Arunachal Pradesh,,,,,,,,,,79.9,,
East Kameng ,Arunachal Pradesh,60.8,78.3,82.9,71.9,70.7,77.8,36.3,20.5,64.4,67.9,98.0,0.0
Papum Pare ,Arunachal Pradesh,60.7,,88.1,63.9,76.3,77.3,37.4,11.5,64.3,75.5,,
Upper Subansiri ,Arunachal Pradesh,68.5,76.3,89.8,74.4,75.6,84.3,29.2,33.6,72.2,58.9,100.0,0.0
Upper Siang ,Arunachal Pradesh,,,,,,,,,,66.8,,
Changlang ,Arunachal Pradesh,70.9,,86.1,70.9,84.4,84.4,19.2,44.5,84.4,77.9,,
Lower Subansiri ,Arunachal Pradesh,,,,,,,,,,70.1,,
Dibang Valley ,Arunachal Pradesh,,,,,,,,,,58.0,,
Lower Dibang Valley ,Arunachal Pradesh,73.8,81.0,89.2,77.8,77.0,84.4,31.4,41.7,79.2,67.1,100.0,0.0
Anjaw ,Arunachal Pradesh,,,,,,,,,,58.6,,
East Siang ,Arunachal Pradesh,,,,,,,,,,67.3,,
Kra Daadi ,Arunachal Pradesh,,,,,,,,,,88.1,,
Kurung Kumey ,Arunachal Pradesh,,,,,,,,,,47.9,,
Lohit ,Arunachal Pradesh,,,,,,,,,,73.0,,
Longding ,Arunachal Pradesh,52.7,,74.5,52.7,59.7,61.5,14.9,34.1,59.7,54.2,,
Namsai ,Arunachal Pradesh,67.2,83.4,83.5,70.9,80.7,79.3,27.2,44.0,75.1,72.4,98.7,1.3
Siang ,Arunachal Pradesh,,,,,,,,,,68.1,,
Tirap ,Arunachal Pradesh,66.3,,82.8,72.1,77.4,77.9,19.4,37.5,77.4,72.8,,
West Siang ,Arunachal Pradesh,,,,,,,,,,64.5,,
Kokrajhar ,Assam,51.1,52.6,95.3,59.9,76.2,79.5,21.8,37.8,70.4,52.6,96.4,0.0
Goalpara ,Assam,70.3,72.7,98.4,71.9,90.6,90.6,16.3,52.0,87.3,57.8,100.0,0.0
Barpeta ,Assam,54.6,59.6,94.3,67.5,73.6,83.8,23.7,40.8,67.8,48.2,97.4,1.4
Morigaon ,Assam,73.4,82.9,91.3,77.0,87.9,87.0,9.9,60.3,83.0,60.2,98.6,0.0
Lakhimpur ,Assam,69.0,72.4,94.5,74.3,87.7,86.3,16.9,53.3,84.6,65.0,100.0,0.0
Dhemaji ,Assam,89.7,90.8,96.7,95.3,94.7,93.2,13.8,76.7,90.0,64.1,98.3,0.0
Tinsukia ,Assam,,,,,,,,,,59.3,,
Dibrugarh ,Assam,,,,,,,,,,56.5,,
Golaghat ,Assam,,,,,,,,,,61.1,,
Dima Hasao ,Assam,,,,,,,,,,63.3,,
Cachar ,Assam,70.4,82.1,88.3,74.4,82.5,76.9,9.2,39.9,63.8,67.9,98.6,0.0
Karimganj ,Assam,75.1,75.9,95.5,84.2,84.0,85.5,22.7,47.3,80.2,74.7,95.0,0.0
Hailakandi ,Assam,68.6,76.9,95.4,77.8,78.9,85.6,22.1,50.0,77.4,80.0,100.0,0.0
Bongaigaon ,Assam,67.9,73.2,94.1,74.7,80.4,84.2,17.0,40.0,71.3,65.0,96.8,3.2
Chirang ,Assam,71.1,68.2,98.2,77.9,86.4,89.3,29.3,43.8,84.5,63.7,96.5,3.5
Kamrup ,Assam,63.6,,90.5,70.1,86.1,83.0,17.4,38.1,73.2,64.0,93.9,6.1
Kamrup Metropolitan ,Assam,,,,,,,,,,54.9,,
Nalbari ,Assam,,,,,,,,,,58.4,,
Baksa ,Assam,70.5,67.3,93.6,78.3,87.2,91.9,26.6,53.8,68.3,55.8,100.0,0.0
Darrang ,Assam,57.1,58.1,94.9,68.7,76.7,82.2,11.9,34.4,70.4,48.2,98.9,1.1
Udalguri ,Assam,,,,,,,,,,53.2,,
Biswanath ,Assam,66.2,74.3,88.3,69.2,82.5,87.2,26.4,54.0,82.6,61.4,100.0,0.0
Charaideo ,Assam,,,,,,,,,,58.0,,
Dhubri ,Assam,71.6,69.5,90.5,77.3,82.7,84.0,31.8,47.4,81.4,50.6,96.9,0.0
Hojai ,Assam,55.5,,82.1,60.9,60.8,59.3,14.6,41.4,55.6,52.1,86.4,7.8
Jorhat ,Assam,69.2,70.4,100.0,79.4,79.8,83.3,25.9,50.3,78.4,50.9,94.2,4.1
Karbi Anglong ,Assam,64.3,,88.7,65.9,75.3,76.2,4.9,42.9,66.9,44.9,91.4,1.6
Majuli ,Assam,78.6,83.9,95.2,84.3,86.4,90.9,17.9,55.6,80.3,62.0,100.0,0.0
Nagaon ,Assam,58.2,68.0,86.9,67.2,73.6,67.3,9.6,31.4,64.6,47.9,95.3,3.3
Sivasagar ,Assam,,,,,,,,,,64.9,,
Sonitpur ,Assam,70.9,,90.4,76.5,76.8,80.4,21.5,62.4,75.0,58.7,,
South Salmara Mancachar ,Assam,65.8,66.0,97.0,74.1,81.9,85.3,6.6,47.1,73.7,65.8,100.0,0.0
West Karbi Anglong ,Assam,47.9,54.5,92.7,52.9,70.3,66.6,3.3,50.5,65.7,42.1,100.0,0.0
Pashchim Champaran ,Bihar,62.1,82.7,88.8,74.7,74.3,79.9,21.4,1.0,73.4,62.4,96.8,2.0
Purba Champaran ,Bihar,68.3,73.8,90.8,74.1,79.2,77.0,23.0,0.9,77.7,51.5,94.5,5.5
Sheohar ,Bihar,62.9,73.5,92.8,69.0,75.0,81.3,19.9,3.8,75.0,59.2,98.7,1.3
Sitamarhi ,Bihar,66.6,76.1,92.7,70.4,78.3,78.4,27.3,0.9,77.7,60.0,100.0,0.0
Madhubani ,Bihar,74.1,85.6,95.7,80.3,85.7,91.2,38.6,0.0,83.1,74.7,96.0,2.0
Supaul ,Bihar,73.6,80.5,99.2,76.8,88.0,85.5,31.3,0.0,81.7,50.5,99.3,0.0
Araria ,Bihar,61.6,71.1,90.0,67.3,77.4,83.0,32.3,0.0,74.2,57.1,94.7,1.6
Kishanganj ,Bihar,67.3,80.9,93.2,70.2,80.3,82.0,18.6,1.7,77.4,53.2,97.3,1.7
Purnia ,Bihar,62.7,81.8,88.1,67.7,80.0,79.5,19.5,3.7,71.1,65.2,96.7,3.3
Katihar ,Bihar,73.7,82.6,93.2,79.1,84.1,83.9,26.1,3.1,78.3,50.2,92.1,0.9
Madhepura ,Bihar,72.0,87.7,97.6,77.7,83.2,86.5,29.5,0.0,77.6,55.8,98.4,1.6
Saharsa ,Bihar,72.2,88.5,97.1,74.5,85.1,87.2,35.2,0.8,82.8,57.4,98.8,1.2
Darbhanga ,Bihar,66.3,80.7,95.2,69.0,78.3,81.9,30.4,0.0,78.3,60.4,94.9,5.1
Muzaffarpur ,Bihar,74.9,83.7,99.1,75.9,88.5,91.9,34.4,1.1,88.4,57.8,98.0,2.0
Gopalganj ,Bihar,75.8,97.9,98.4,79.0,91.1,89.6,37.0,1.7,91.1,69.1,98.1,1.9
Siwan ,Bihar,76.1,83.2,97.4,78.4,92.6,86.4,25.3,0.0,87.2,48.3,100.0,0.0
Saran ,Bihar,72.0,85.7,95.2,75.7,89.1,88.9,31.1,16.2,83.1,50.2,99.1,0.9
Vaishali ,Bihar,71.0,84.2,97.4,74.8,85.0,82.3,13.2,5.3,72.7,55.8,98.1,1.0
Samastipur ,Bihar,71.4,85.5,99.0,74.6,89.5,89.4,30.5,0.0,88.5,64.1,98.3,1.7
Begusarai ,Bihar,65.8,80.8,96.6,72.9,82.3,81.0,24.5,2.5,80.4,57.2,96.5,1.7
Khagaria ,Bihar,64.7,84.3,97.1,73.1,83.7,82.6,31.4,2.6,82.9,62.9,92.9,2.6
Bhagalpur ,Bihar,66.8,81.0,96.0,73.4,91.1,91.8,51.9,15.6,89.2,46.2,84.7,8.3
Banka ,Bihar,88.1,89.5,98.1,90.2,92.9,95.0,42.3,2.2,93.8,42.8,99.1,0.9
Munger ,Bihar,73.4,84.8,95.0,75.1,85.9,86.8,44.1,1.2,83.4,44.6,97.6,1.3
Lakhisarai ,Bihar,68.9,76.8,92.9,73.7,82.4,83.9,23.7,0.0,82.4,41.8,97.7,2.3
Sheikhpura ,Bihar,82.8,86.6,99.2,85.6,90.0,88.7,31.4,1.2,87.2,42.8,99.4,0.6
Nalanda ,Bihar,75.2,83.8,95.7,82.2,86.6,83.4,22.4,0.0,84.9,44.1,100.0,0.0
Patna ,Bihar,56.6,,98.4,67.0,83.9,78.6,20.9,11.0,78.7,58.4,94.9,5.1
Bhojpur ,Bihar,61.9,80.6,98.4,64.1,80.6,85.7,24.1,3.6,80.9,40.3,97.8,0.8
Buxar ,Bihar,75.0,81.7,97.3,75.0,90.5,90.5,35.7,6.3,89.6,50.4,90.4,6.4
Kaimur (Bhabua) ,Bihar,88.9,90.4,98.2,89.9,91.4,93.5,32.1,14.0,87.4,67.5,98.9,1.1
Rohtas ,Bihar,86.8,93.6,97.6,86.8,95.8,95.8,45.5,7.7,95.8,71.5,98.9,1.1
Aurangabad ,Bihar,89.7,90.6,99.4,91.3,95.9,96.8,33.3,6.1,91.2,63.9,99.2,0.0
Gaya ,Bihar,85.0,84.2,97.1,90.7,92.6,92.5,26.5,7.3,91.8,47.1,95.7,2.3
Nawada ,Bihar,74.5,85.2,94.6,79.0,87.9,87.5,37.5,0.8,86.4,37.3,96.7,0.7
Jamui ,Bihar,66.4,80.2,97.5,68.2,77.4,85.7,27.9,0.0,76.7,30.2,98.9,0.9
Jehanabad ,Bihar,70.3,79.1,100.0,77.2,88.4,97.2,39.6,5.8,87.1,68.4,98.0,2.0
Arwal ,Bihar,84.2,89.0,97.3,85.0,93.9,94.7,51.4,4.2,92.2,57.8,98.3,1.7
Chandigarh,Chandigarh,,,,,,,,,,72.6,,
Koriya ,Chhattisgarh,87.1,87.0,90.2,90.4,92.5,92.5,21.2,74.5,92.5,81.7,97.1,2.9
Jashpur ,Chhattisgarh,94.2,94.1,95.5,95.5,95.5,96.9,28.0,76.9,95.5,90.2,100.0,0.0
Raigarh ,Chhattisgarh,90.9,,100.0,90.9,92.8,95.2,13.5,76.8,92.8,88.3,99.2,0.8
Korba ,Chhattisgarh,,,,,,,,,,74.1,,
Janjgir - Champa ,Chhattisgarh,85.5,86.8,94.1,90.7,89.5,92.9,50.5,30.9,92.6,86.6,94.7,5.3
Kabeerdham ,Chhattisgarh,95.4,96.9,98.5,96.9,95.4,96.9,21.0,80.4,95.4,86.5,100.0,0.0
Rajnandgaon ,Chhattisgarh,91.0,91.0,100.0,92.6,95.1,95.1,33.6,69.5,95.1,91.3,100.0,0.0
Mahasamund ,Chhattisgarh,82.1,86.3,98.2,86.2,87.4,92.2,30.1,22.9,86.5,88.5,98.3,1.8
Dhamtari ,Chhattisgarh,,,,,,,,,,92.8,,
Uttar Bastar Kanker ,Chhattisgarh,,,,,,,,,,91.0,,
Narayanpur ,Chhattisgarh,81.7,82.7,100.0,84.5,87.1,87.3,14.7,63.4,83.8,82.7,94.2,0.0
Bijapur ,Chhattisgarh,78.4,79.0,92.7,84.6,83.2,83.8,33.6,63.9,83.0,84.8,98.4,1.6
Balod ,Chhattisgarh,,,,,,,,,,90.3,,
Baloda Bazar ,Chhattisgarh,77.3,84.7,97.0,80.3,87.6,89.8,32.4,27.4,86.0,77.1,98.6,1.4
Balrampur ,Chhattisgarh,76.1,86.2,92.4,76.1,86.4,89.2,17.0,61.0,84.9,83.2,98.5,1.6
Bastar ,Chhattisgarh,57.3,61.1,93.9,61.8,85.0,81.4,32.0,24.2,76.0,87.4,97.9,2.1
Bemetara ,Chhattisgarh,93.4,93.4,100.0,93.4,93.4,95.7,28.3,64.1,93.4,89.0,100.0,0.0
Bilaspur ,Chhattisgarh,52.5,,94.0,65.8,77.5,80.1,36.7,38.9,73.3,62.7,89.1,11.0
Dantewada ,Chhattisgarh,77.6,73.7,95.1,85.8,90.0,83.8,27.8,47.5,89.1,91.8,98.3,0.0
Durg ,Chhattisgarh,82.7,87.0,97.2,85.8,90.8,92.2,34.6,56.4,85.4,82.3,90.4,9.6
Gariyaband ,Chhattisgarh,83.4,81.1,100.0,85.4,88.9,94.2,45.0,25.8,86.9,81.6,100.0,0.0
Kodagaon ,Chhattisgarh,70.1,64.4,96.9,77.2,83.7,86.7,32.1,23.8,81.8,84.7,100.0,0.0
Mungeli ,Chhattisgarh,79.7,85.7,98.7,83.9,89.0,89.2,26.9,59.0,90.7,87.7,96.6,3.4
Raipur ,Chhattisgarh,74.2,75.4,96.6,86.8,78.0,85.8,31.5,27.7,76.4,88.4,94.5,5.5
Sukma ,Chhattisgarh,73.3,76.8,95.0,80.1,80.1,76.8,10.5,51.6,78.5,80.4,100.0,0.0
Surajpur ,Chhattisgarh,78.7,85.0,92.6,79.7,82.0,83.3,24.9,71.8,82.0,93.8,98.4,1.6
Surguja ,Chhattisgarh,84.6,89.0,96.4,87.9,89.5,96.9,27.5,61.3,86.1,86.3,97.2,2.8
Diu ,Dadra and Nagar Haveli & Daman and Diu,,,,,,,,,,81.5,,
Daman ,Dadra and Nagar Haveli & Daman and Diu,,,,,,,,,,81.8,,
Dadra & Nagar Haveli ,Dadra and Nagar Haveli & Daman and Diu,100.0,98.5,100.0,100.0,100.0,100.0,49.2,3.8,96.9,87.7,97.3,2.7
North Goa ,Goa,,,,,,,,,,94.4,,
South Goa ,Goa,,,,,,,,,,88.0,,
Kachchh ,Gujarat,70.2,75.3,97.4,72.9,87.6,87.5,17.4,2.5,85.5,76.9,88.2,10.9
Banas Kantha ,Gujarat,43.5,,86.4,52.2,64.1,63.7,11.2,1.8,64.5,75.5,87.3,12.7
Patan ,Gujarat,81.0,91.9,97.2,82.5,92.6,95.6,37.5,0.0,85.7,81.6,96.6,3.4
Mahesana ,Gujarat,,,,,,,,,,83.6,,
Gandhinagar ,Gujarat,,,,,,,,,,81.0,,
Porbandar ,Gujarat,,,,,,,,,,96.9,,
Amreli ,Gujarat,,,,,,,,,,80.1,,
Anand ,Gujarat,,,,,,,,,,91.4,,
Dohad ,Gujarat,66.2,74.8,88.9,68.5,73.8,75.0,23.5,1.2,73.8,85.4,98.6,1.4
Narmada ,Gujarat,82.8,,88.3,82.8,84.6,84.6,33.9,2.0,84.6,88.1,,
Bharuch ,Gujarat,,,,,,,,,,79.6,,
The Dangs ,Gujarat,91.3,96.2,94.9,91.3,91.3,91.3,32.8,0.0,89.8,90.0,100.0,0.0
Navsari ,Gujarat,95.0,95.5,100.0,95.0,96.9,95.0,41.2,3.2,95.0,95.5,97.0,3.0
Valsad ,Gujarat,91.1,92.5,98.5,95.3,92.5,93.9,30.7,5.2,89.4,96.6,91.7,8.3
Surat ,Gujarat,,,,,,,,,,92.5,,
Tapi ,Gujarat,,,,,,,,,,88.3,,
Ahmadabad ,Gujarat,,,,,,,,,,85.1,,
Aravali ,Gujarat,77.0,86.9,95.2,81.8,87.9,88.1,17.3,5.9,86.4,84.6,92.3,7.7
Bhavnagar ,Gujarat,74.3,,90.6,76.0,85.2,83.5,14.6,0.0,84.6,83.1,,
Botad ,Gujarat,65.1,77.6,94.0,74.5,76.3,78.2,19.9,1.3,75.2,74.0,94.1,5.9
Chhota Udaipur ,Gujarat,81.7,80.1,98.7,85.7,86.6,89.3,32.6,0.0,85.4,96.0,100.0,0.0
Devbhumi Dwarka ,Gujarat,73.3,77.0,92.3,81.0,77.2,80.1,28.1,0.0,76.2,77.3,95.7,2.2
Gir Somnath ,Gujarat,69.9,,98.8,77.1,92.5,81.8,18.8,0.0,92.3,90.6,98.4,1.6
Jamnagar ,Gujarat,,,,,,,,,,91.5,,
Junagadh ,Gujarat,93.5,93.4,95.3,95.0,95.0,96.9,36.3,2.0,93.2,87.9,98.2,1.9
Kheda ,Gujarat,69.0,,90.1,74.3,88.2,86.9,41.1,4.6,81.8,78.1,96.5,1.4
Mahisagar ,Gujarat,80.0,83.4,97.2,84.6,85.9,90.9,35.8,1.5,85.8,86.8,100.0,0.0
Morbi ,Gujarat,64.2,73.5,95.9,67.1,83.1,79.7,25.4,3.9,81.9,82.6,78.3,21.7
Panch Mahals ,Gujarat,95.4,95.4,99.1,96.6,96.9,96.9,36.6,0.0,96.9,87.6,99.1,0.0
Rajkot ,Gujarat,,,,,,,,,,84.2,,
Sabar Kantha ,Gujarat,88.5,89.7,98.6,88.5,93.1,93.1,42.5,0.0,93.1,87.6,98.5,1.5
Surendranagar ,Gujarat,62.5,68.4,91.2,67.8,75.2,78.4,31.1,1.6,75.2,79.4,93.7,5.2
Vadodara ,Gujarat,,,,,,,,,,91.6,,
Panchkula ,Haryana,,,,,,,,,,71.1,,
Ambala ,Haryana,79.3,86.9,97.7,81.4,93.3,93.3,35.5,76.3,92.8,79.5,92.8,2.9
Yamunanagar ,Haryana,82.9,85.6,95.8,84.4,90.4,94.1,40.8,80.9,87.6,67.4,95.1,1.8
Kurukshetra ,Haryana,69.8,72.1,97.0,73.6,98.5,94.6,30.9,87.4,91.6,72.6,96.2,3.8
Kaithal ,Haryana,,,,,,,,,,70.5,,
Karnal ,Haryana,88.9,84.6,100.0,91.4,98.8,98.7,36.1,91.9,97.8,74.7,93.9,6.1
Panipat ,Haryana,80.6,79.4,96.8,82.1,87.0,90.5,24.4,77.1,87.0,52.2,96.6,3.4
Sonipat ,Haryana,,,,,,,,,,54.0,,
Jind ,Haryana,77.5,,96.3,86.2,88.1,84.2,32.5,78.4,88.1,60.3,100.0,0.0
Fatehabad ,Haryana,90.7,96.7,96.8,90.7,93.8,93.8,31.0,90.7,93.8,67.8,98.3,1.7
Sirsa ,Haryana,,,,,,,,,,73.4,,
Hisar ,Haryana,85.5,,100.0,87.0,95.4,97.1,38.9,97.1,95.4,64.0,94.2,4.7
Rohtak ,Haryana,77.4,88.1,88.2,84.7,84.4,83.1,22.1,78.1,84.5,71.4,96.5,3.5
Jhajjar ,Haryana,90.9,84.1,96.9,90.9,95.9,96.5,23.9,90.6,94.0,69.5,100.0,0.0
Mahendragarh ,Haryana,73.9,,94.3,76.0,86.4,87.6,30.0,82.5,84.2,62.5,,
Rewari ,Haryana,79.3,,92.6,83.5,90.2,90.2,36.3,78.5,90.2,83.2,93.5,3.3
Gurgaon ,Haryana,,,,,,,,,,54.8,,
Mewat ,Haryana,53.8,63.5,87.2,57.8,68.3,65.7,21.0,49.0,66.4,59.2,97.7,0.0
Faridabad ,Haryana,69.5,73.2,95.4,74.4,83.6,85.1,22.3,69.5,83.6,59.4,94.8,5.2
Palwal ,Haryana,69.0,74.4,94.1,75.0,82.2,86.7,21.6,71.5,81.3,57.4,97.6,1.2
Bhiwani ,Haryana,72.5,80.4,95.3,78.6,93.2,95.7,28.0,79.7,89.3,63.6,100.0,0.0
Charkhi Dadri ,Haryana,84.2,,92.4,86.1,92.6,94.8,34.6,85.1,92.6,68.3,,
Chamba ,Himachal Pradesh,,,,,,,,,,77.8,,
Kangra ,Himachal Pradesh,,,,,,,,,,79.0,,
Lahul & Spiti ,Himachal Pradesh,,,,,,,,,,74.5,,
Kullu ,Himachal Pradesh,80.2,,93.8,82.5,91.5,91.5,53.3,87.4,91.5,85.2,92.9,2.8
Mandi ,Himachal Pradesh,,,,,,,,,,72.8,,
Hamirpur ,Himachal Pradesh,,,,,,,,,,80.0,,
Una ,Himachal Pradesh,,,,,,,,,,79.1,,
Bilaspur ,Himachal Pradesh,,,,,,,,,,75.4,,
Solan ,Himachal Pradesh,,,,,,,,,,78.5,,
Sirmaur ,Himachal Pradesh,93.9,93.7,100.0,96.8,97.2,100.0,40.0,92.2,97.2,75.1,100.0,0.0
Shimla ,Himachal Pradesh,,,,,,,,,,73.9,,
Kinnaur ,Himachal Pradesh,,,,,,,,,,82.4,,
Kupwara ,Jammu & Kashmir,93.2,100.0,98.3,93.2,96.5,98.3,42.4,0.0,96.5,89.0,100.0,0.0
Badgam ,Jammu & Kashmir,,,,,,,,,,93.5,,
Punch ,Jammu & Kashmir,91.2,92.1,97.0,95.6,98.5,95.7,23.6,6.1,97.1,81.0,100.0,0.0
Rajouri ,Jammu & Kashmir,95.0,98.1,100.0,95.0,98.2,96.9,44.6,12.4,98.2,81.0,96.8,3.2
Kathua ,Jammu & Kashmir,,,,,,,,,,88.3,,
Baramula ,Jammu & Kashmir,73.7,98.2,91.5,76.6,87.2,84.1,24.7,4.2,86.0,83.4,96.8,1.7
Bandipore ,Jammu & Kashmir,90.3,,93.4,91.6,90.3,93.4,39.9,7.9,90.3,84.5,97.9,0.0
Srinagar ,Jammu & Kashmir,,,,,,,,,,85.2,,
Ganderbal ,Jammu & Kashmir,81.2,88.1,98.7,88.9,90.8,93.2,51.9,10.8,90.7,83.6,100.0,0.0
Pulwama ,Jammu & Kashmir,,,,,,,,,,85.2,,
Shupiyan ,Jammu & Kashmir,,,,,,,,,,69.7,,
Anantnag ,Jammu & Kashmir,,,,,,,,,,88.3,,
Kulgam ,Jammu & Kashmir,98.1,,100.0,100.0,98.1,100.0,44.4,0.0,98.1,92.6,100.0,0.0
Doda ,Jammu & Kashmir,61.7,,83.6,63.6,69.4,67.5,13.8,0.0,71.3,55.4,,
Ramban ,Jammu & Kashmir,78.9,,92.2,80.5,87.3,82.1,18.9,6.1,85.7,70.7,98.3,0.0
Kishtwar ,Jammu & Kashmir,,,,,,,,,,67.0,,
Udhampur ,Jammu & Kashmir,85.8,,92.9,85.8,89.3,87.8,35.8,14.7,89.3,80.1,,
Reasi ,Jammu & Kashmir,79.1,,90.5,80.8,86.6,86.6,28.9,0.0,88.4,73.5,100.0,0.0
Jammu ,Jammu & Kashmir,,,,,,,,,,85.6,,
Samba ,Jammu & Kashmir,90.9,,98.0,90.9,94.0,94.0,21.9,0.0,91.9,73.5,100.0,0.0
Garhwa ,Jharkhand,77.2,82.9,96.8,78.2,86.0,86.1,29.3,79.3,84.8,61.2,91.8,2.2
Chatra ,Jharkhand,71.7,82.4,91.5,73.6,80.7,78.7,26.9,75.1,80.7,70.7,99.0,1.0
Kodarma ,Jharkhand,73.8,87.4,95.0,76.1,87.4,85.0,29.0,82.7,87.4,76.6,99.0,1.0
Giridih ,Jharkhand,70.6,83.6,92.4,71.6,82.7,84.4,26.7,66.0,79.4,69.6,97.6,2.4
