district,state,full_vaccination_any_source,full_vaccination_card_only,bcg_vaccination,polio_3_doses,dpt_3_doses,measles_first_dose,measles_second_dose,rotavirus_3_doses,hepatitis_3_doses,vitamin_a_supplementation,vaccinations_public_facility,vaccinations_private_facility
Tarn Taran ,Punjab,81.8,,96.4,83.5,92.6,89.4,32.0,57.7,90.7,71.3,96.4,0.0
Rupnagar ,Punjab,,,,,,,,,,73.0,,
Sahibzada Ajit Singh Nagar ,Punjab,71.1,,96.8,74.2,85.0,78.7,26.8,64.5,82.9,72.6,91.2,8.8
Sangrur ,Punjab,,,,,,,,,,64.9,,
Barnala ,Punjab,68.5,,92.4,75.5,88.3,86.8,29.8,50.2,84.1,71.9,83.3,15.0
Fazilka ,Punjab,,,,,,,,,,57.6,,
Firozpur ,Punjab,74.5,,97.8,78.4,90.9,89.9,27.9,64.0,88.7,57.6,88.3,11.7
Gurdaspur ,Punjab,80.0,,91.8,87.0,88.6,87.8,27.3,66.3,82.3,80.3,88.2,9.9
Pathankot ,Punjab,,,,,,,,,,65.8,,
Ganganagar ,Rajasthan,89.7,90.4,95.6,91.1,94.0,95.6,17.9,45.1,94.0,70.8,98.5,1.5
Hanumangarh ,Rajasthan,83.3,86.6,92.2,88.3,94.7,93.5,27.3,57.6,94.7,64.8,100.0,0.0
Bikaner ,Rajasthan,75.6,81.3,94.8,80.4,84.0,85.1,23.8,58.6,85.1,56.3,95.6,4.4
Churu ,Rajasthan,74.3,82.4,93.0,79.1,88.2,88.1,35.8,52.5,85.7,61.4,100.0,0.0
Jhunjhunun ,Rajasthan,88.7,88.0,98.5,90.2,96.0,94.6,34.8,52.4,94.3,62.9,98.4,1.6
Alwar ,Rajasthan,59.4,,92.6,72.5,71.4,81.0,27.8,40.2,68.8,52.8,97.3,1.2
Bharatpur ,Rajasthan,64.1,67.2,86.0,77.4,80.1,83.0,13.6,51.2,81.2,44.9,96.8,1.1
Dhaulpur ,Rajasthan,85.9,79.8,98.3,89.7,94.3,97.0,28.9,79.6,94.3,63.0,97.3,1.1
Karauli ,Rajasthan,88.9,93.1,98.2,91.2,95.9,95.9,20.6,70.0,95.9,61.7,98.4,1.6
Sawai Madhopur ,Rajasthan,54.9,,90.1,62.5,77.2,77.5,24.5,35.9,65.7,56.6,100.0,0.0
Dausa ,Rajasthan,92.1,87.4,98.5,95.0,96.2,96.1,27.0,82.8,97.5,60.2,100.0,0.0
Jaipur ,Rajasthan,89.3,96.8,98.6,89.3,97.1,98.6,22.0,89.8,97.1,62.3,97.3,2.7
Sikar ,Rajasthan,70.0,71.3,95.7,77.6,80.6,86.5,22.5,38.0,79.3,68.1,93.2,6.9
Nagaur ,Rajasthan,80.6,93.4,95.3,82.7,92.0,92.0,28.2,42.6,90.2,66.0,98.7,0.0
Jodhpur ,Rajasthan,81.2,77.0,94.1,87.2,85.9,89.0,23.4,46.1,84.1,69.8,97.3,2.7
Jaisalmer ,Rajasthan,72.0,74.7,89.8,76.1,78.3,80.3,18.8,46.2,78.3,70.7,96.8,2.1
Barmer ,Rajasthan,92.9,92.8,97.5,94.0,92.9,92.9,28.4,68.9,92.9,77.7,100.0,0.0
Jalor ,Rajasthan,78.0,82.4,97.4,84.5,85.3,87.7,26.7,62.5,85.3,76.7,96.7,2.3
Sirohi ,Rajasthan,86.4,95.6,91.2,88.9,92.5,93.7,16.0,77.8,90.1,65.5,100.0,0.0
Pali ,Rajasthan,90.2,89.2,100.0,91.5,93.1,97.4,33.0,61.1,91.6,65.7,100.0,0.0
Ajmer ,Rajasthan,78.9,92.3,96.8,80.5,91.9,93.5,29.0,56.1,91.9,64.0,95.2,4.8
Tonk ,Rajasthan,75.3,,94.4,77.2,90.5,88.7,32.2,60.9,88.8,52.8,93.6,0.0
Bundi ,Rajasthan,75.7,81.4,97.7,83.1,92.3,91.1,28.7,65.5,87.5,62.8,100.0,0.0
Bhilwara ,Rajasthan,83.2,87.8,94.6,89.9,89.1,89.1,17.6,78.6,88.1,70.2,100.0,0.0
Rajsamand ,Rajasthan,71.7,76.6,85.3,79.1,81.3,86.7,13.8,52.8,81.3,63.3,100.0,0.0
Dungarpur ,Rajasthan,83.3,89.2,96.9,84.8,93.7,96.8,30.0,53.3,89.8,61.7,97.6,2.4
Banswara ,Rajasthan,83.0,88.3,98.9,84.4,91.1,93.5,33.3,75.1,91.1,63.9,100.0,0.0
Chittaurgarh ,Rajasthan,87.8,89.9,100.0,89.1,96.8,97.1,55.5,86.6,98.3,62.7,98.8,1.2
Kota ,Rajasthan,84.4,85.2,98.4,86.3,91.8,95.3,25.8,71.9,85.3,61.6,93.7,6.4
Baran ,Rajasthan,89.3,93.4,100.0,90.5,95.3,96.5,46.1,80.3,95.3,73.9,100.0,0.0
Jhalawar ,Rajasthan,81.5,92.0,98.8,83.9,90.8,90.6,34.6,77.6,89.3,67.8,100.0,0.0
Udaipur ,Rajasthan,86.8,89.5,95.3,88.5,90.2,91.9,22.4,76.4,90.2,74.2,100.0,0.0
Pratapgarh ,Rajasthan,75.8,88.7,96.5,81.1,97.2,91.9,30.2,67.7,97.2,76.1,100.0,0.0
North  District ,Sikkim,,,,,,,,,,90.1,,
West District ,Sikkim,,,,,,,,,,72.2,,
South District ,Sikkim,,,,,,,,,,88.4,,
East District ,Sikkim,,,,,,,,,,91.2,,
Thiruvallur ,Tamil Nadu,,,,,,,,,,62.9,,
Chennai ,Tamil Nadu,,,,,,,,,,56.4,,
Kancheepuram ,Tamil Nadu,,,,,,,,,,67.9,,
Vellore ,Tamil Nadu,92.7,97.2,97.0,93.9,94.3,95.5,46.4,80.8,91.2,71.6,86.1,13.9
Tiruvannamalai ,Tamil Nadu,,,,,,,,,,64.3,,
Viluppuram ,Tamil Nadu,,,,,,,,,,73.2,,
Salem ,Tamil Nadu,,,,,,,,,,67.8,,
Namakkal ,Tamil Nadu,,,,,,,,,,66.2,,
Erode ,Tamil Nadu,,,,,,,,,,64.2,,
The Nilgiris ,Tamil Nadu,,,,,,,,,,69.4,,
Dindigul ,Tamil Nadu,92.6,96.4,97.6,92.6,95.6,96.0,53.9,72.5,89.8,84.0,98.5,1.5
Karur ,Tamil Nadu,,,,,,,,,,48.5,,
Tiruchirappalli ,Tamil Nadu,,,,,,,,,,63.8,,
Perambalur ,Tamil Nadu,,,,,,,,,,64.1,,
Ariyalur ,Tamil Nadu,,,,,,,,,,61.7,,
Cuddalore ,Tamil Nadu,,,,,,,,,,72.7,,
Nagapattinam ,Tamil Nadu,,,,,,,,,,63.4,,
Thiruvarur ,Tamil Nadu,,,,,,,,,,70.9,,
Thanjavur ,Tamil Nadu,,,,,,,,,,49.8,,
Pudukkottai ,Tamil Nadu,83.3,75.9,92.1,90.7,97.1,94.6,49.3,47.0,97.1,69.0,93.6,6.5
Sivaganga ,Tamil Nadu,,,,,,,,,,73.2,,
Madurai ,Tamil Nadu,,,,,,,,,,66.6,,
Theni ,Tamil Nadu,95.2,95.2,98.5,95.9,96.6,97.3,43.1,80.9,96.6,74.0,94.7,3.9
Virudhunagar ,Tamil Nadu,,,,,,,,,,74.8,,
Ramanathapuram ,Tamil Nadu,90.4,91.1,96.5,96.5,90.4,96.5,39.4,62.1,88.7,75.0,93.3,6.7
Thoothukkudi ,Tamil Nadu,,,,,,,,,,63.0,,
Tirunelveli ,Tamil Nadu,,,,,,,,,,69.0,,
Kanniyakumari ,Tamil Nadu,,,,,,,,,,78.4,,
Dharmapuri ,Tamil Nadu,90.6,,98.0,90.6,96.4,96.4,50.5,69.6,94.5,66.2,97.8,2.2
Krishnagiri ,Tamil Nadu,87.3,90.3,96.7,87.3,91.1,91.1,42.3,60.2,84.2,68.5,98.5,1.6
Coimbatore ,Tamil Nadu,,,,,,,,,,75.2,,
Tiruppur ,Tamil Nadu,,,,,,,,,,74.2,,
Adilabad ,Telangana,69.3,73.7,91.6,72.5,81.9,86.7,43.7,7.4,81.9,85.7,94.9,4.7
Bhadradri Kothagudem ,Telangana,80.4,,98.0,86.7,93.7,96.1,41.4,8.0,93.7,73.2,98.2,1.8
Hyderabad ,Telangana,,,,,,,,,,62.0,,
Jagitial ,Telangana,,,,,,,,,,72.5,,
Jangoan ,Telangana,,,,,,,,,,80.8,,
Jayashankar Bhupalapally ,Telangana,,,,,,,,,,70.5,,
Jogulamba Gadwal ,Telangana,86.9,92.3,95.2,86.9,92.4,93.5,37.6,0.0,92.4,75.0,98.8,1.2
Kamareddy ,Telangana,75.5,,94.3,85.3,86.8,91.2,38.4,9.2,82.0,79.6,98.0,2.0
Karimnagar ,Telangana,,,,,,,,,,79.8,,
Khammam ,Telangana,,,,,,,,,,70.9,,
Komaram Bheem Asifabad ,Telangana,76.2,,98.0,78.2,98.0,96.4,42.1,17.9,95.9,75.0,96.5,3.5
Mahabubabad ,Telangana,,,,,,,,,,73.6,,
Mahabubnagar ,Telangana,89.4,98.1,98.2,89.4,96.5,96.5,41.6,0.0,89.3,70.8,90.7,1.5
Mancherial ,Telangana,,,,,,,,,,63.9,,
Medak ,Telangana,,,,,,,,,,85.2,,
Medchal-Malkajgiri ,Telangana,,,,,,,,,,69.5,,
Nagarkurnool ,Telangana,81.1,,91.9,81.1,88.8,90.1,37.0,1.7,86.7,64.7,98.1,1.9
Nalgonda ,Telangana,,,,,,,,,,72.6,,
Nirmal ,Telangana,,,,,,,,,,84.1,,
Nizamabad ,Telangana,86.1,81.5,95.0,87.8,96.7,95.3,57.9,13.4,94.4,83.0,96.5,3.5
Peddapalli ,Telangana,,,,,,,,,,66.3,,
Rajanna Sircilla ,Telangana,84.1,85.1,96.4,86.1,94.4,94.8,41.9,1.5,92.8,73.3,96.8,3.3
Ranga Reddy ,Telangana,85.8,91.9,94.1,85.8,89.2,87.6,30.5,0.0,87.8,67.8,92.8,7.2
Sangareddy ,Telangana,78.5,,95.0,81.4,90.2,89.7,26.5,15.8,80.5,74.0,98.1,2.0
Siddipet ,Telangana,,,,,,,,,,81.0,,
Suryapet ,Telangana,,,,,,,,,,70.2,,
Vikarabad ,Telangana,86.2,88.7,98.4,87.7,90.7,93.6,33.9,3.4,89.2,66.1,98.4,1.6
Wanaparthy ,Telangana,,,,,,,,,,71.4,,
Warangal Rural ,Telangana,,,,,,,,,,83.7,,
Warangal Urban ,Telangana,,,,,,,,,,78.5,,
Yadadri Bhuvanagiri ,Telangana,76.7,84.3,95.2,80.2,87.2,90.0,37.9,5.1,87.0,69.6,97.0,3.0
Dhalai ,Tripura,73.7,76.7,97.6,73.7,89.0,90.2,29.1,68.4,86.2,58.2,100.0,0.0
Gomati ,Tripura,,,,,,,,,,74.6,,
Khowai ,Tripura,,,,,,,,,,68.1,,
North Tripura ,Tripura,69.6,67.9,93.1,74.1,77.5,74.6,9.5,50.9,74.6,61.6,97.6,0.0
Sepahijala ,Tripura,,,,,,,,,,80.8,,
South Tripura ,Tripura,,,,,,,,,,75.2,,
Unakoti ,Tripura,58.3,,85.1,63.0,78.0,83.6,16.8,57.3,74.8,73.7,,
West Tripura ,Tripura,,,,,,,,,,73.0,,
Saharanpur ,Uttar Pradesh,89.2,93.4,97.3,91.0,92.9,93.7,35.7,56.9,92.0,82.7,93.7,4.5
Bijnor ,Uttar Pradesh,90.6,96.7,96.7,90.6,92.6,92.6,35.4,87.0,92.6,78.2,89.6,1.2
Rampur ,Uttar Pradesh,79.4,81.9,96.1,80.7,88.7,91.7,31.4,61.8,88.7,56.9,97.1,1.3
Jyotiba Phule Nagar ,Uttar Pradesh,72.9,91.1,95.3,78.0,86.1,84.4,33.6,61.1,85.2,76.4,92.5,0.0
Meerut ,Uttar Pradesh,82.5,92.2,97.8,83.3,91.6,92.4,36.7,79.5,91.6,79.3,89.8,1.3
Baghpat ,Uttar Pradesh,83.9,93.0,92.8,86.4,91.5,87.7,30.5,81.2,91.5,73.5,92.9,0.0
Gautam Buddha Nagar ,Uttar Pradesh,68.2,,94.6,69.7,86.4,87.6,26.6,74.0,86.4,72.3,83.0,6.5
Bulandshahr ,Uttar Pradesh,67.3,84.7,92.9,70.9,80.0,77.9,33.6,65.6,81.0,69.6,92.5,0.5
Aligarh ,Uttar Pradesh,70.1,83.9,93.3,72.4,78.6,81.8,40.6,69.5,77.6,69.4,89.7,3.7
Mahamaya Nagar ,Uttar Pradesh,71.6,79.5,95.1,76.1,85.2,88.4,40.1,27.6,72.6,61.7,92.5,4.2
Mathura ,Uttar Pradesh,73.6,80.5,98.3,75.0,91.7,90.3,43.2,23.9,84.4,69.7,91.8,3.2
Agra ,Uttar Pradesh,74.1,78.2,99.1,75.8,92.2,96.4,48.4,45.6,91.3,71.9,87.5,5.7
Firozabad ,Uttar Pradesh,67.1,72.9,94.9,72.1,79.4,79.7,28.5,19.7,75.1,52.9,91.5,2.6
Mainpuri ,Uttar Pradesh,75.0,87.7,94.5,80.5,86.1,89.2,32.6,22.1,79.4,68.3,93.5,3.4
Bareilly ,Uttar Pradesh,70.5,,95.4,73.0,85.8,88.7,38.5,57.4,85.8,80.2,91.9,5.0
Pilibhit ,Uttar Pradesh,92.3,90.4,97.0,92.3,94.0,95.6,34.8,70.2,87.3,78.1,97.2,1.5
Shahjahanpur ,Uttar Pradesh,76.5,84.5,97.3,80.8,88.1,89.1,35.4,48.6,87.3,76.7,97.2,2.8
Kheri ,Uttar Pradesh,69.5,76.2,88.3,69.5,77.5,78.4,26.7,56.4,75.2,65.4,91.0,1.3
Sitapur ,Uttar Pradesh,65.9,72.2,91.7,71.1,81.8,80.5,35.1,51.4,80.7,89.4,95.9,1.0
Hardoi ,Uttar Pradesh,63.3,62.4,88.7,67.9,76.8,79.0,28.1,37.5,75.3,78.4,98.8,0.0
Unnao ,Uttar Pradesh,58.6,,88.8,63.2,71.5,76.7,21.4,26.2,64.8,74.1,88.3,7.4
Lucknow ,Uttar Pradesh,68.9,,87.5,73.1,78.2,78.7,34.0,61.3,75.8,70.2,94.1,5.9
Farrukhabad ,Uttar Pradesh,68.5,83.7,95.3,72.2,82.7,85.6,33.6,34.7,79.0,71.0,98.0,0.0
Kannauj ,Uttar Pradesh,55.8,56.8,92.7,62.9,73.2,82.2,31.6,20.6,68.0,72.7,99.0,0.0
Etawah ,Uttar Pradesh,77.7,87.2,100.0,82.2,88.0,92.7,31.1,32.2,88.0,73.9,97.4,2.6
Auraiya ,Uttar Pradesh,82.5,84.3,95.6,84.7,89.4,89.4,23.4,74.5,88.3,84.7,99.1,0.9
Kanpur Dehat ,Uttar Pradesh,56.3,68.0,85.5,63.9,69.0,73.5,20.0,24.2,67.8,67.9,94.7,2.3
Kanpur Nagar ,Uttar Pradesh,72.8,,93.7,77.4,74.7,78.6,32.2,23.7,72.9,81.6,,
Jalaun ,Uttar Pradesh,66.2,64.7,90.3,71.7,71.6,79.1,18.9,32.0,69.8,77.3,100.0,0.0
Jhansi ,Uttar Pradesh,44.5,53.9,94.0,55.0,69.2,73.6,26.4,30.3,62.6,79.1,98.5,1.5
Lalitpur ,Uttar Pradesh,70.8,73.0,94.7,77.8,80.9,81.9,29.0,38.9,79.1,78.7,100.0,0.0
Hamirpur ,Uttar Pradesh,77.1,79.8,97.5,84.5,86.6,92.5,45.1,45.0,81.3,87.1,100.0,0.0
Mahoba ,Uttar Pradesh,70.7,73.9,90.8,78.8,78.4,78.2,35.0,54.3,78.4,88.8,100.0,0.0
Banda ,Uttar Pradesh,62.9,64.9,95.0,65.6,73.5,80.1,28.6,39.3,71.9,81.2,97.4,1.2
Chitrakoot ,Uttar Pradesh,63.7,68.9,84.8,68.0,76.8,80.7,32.4,54.5,72.8,80.6,92.3,4.8
Fatehpur ,Uttar Pradesh,55.7,63.5,90.0,61.8,76.0,71.5,29.3,20.2,69.8,76.3,91.3,6.0
Pratapgarh ,Uttar Pradesh,75.0,92.1,89.1,78.2,82.8,87.6,22.4,42.8,80.6,69.3,96.1,1.3
Kaushambi ,Uttar Pradesh,65.7,77.1,92.0,70.7,73.8,79.1,30.2,57.2,73.6,79.8,98.9,0.0
Allahabad ,Uttar Pradesh,55.8,67.8,85.4,58.4,67.2,70.9,15.5,53.6,66.2,60.7,95.6,1.7
Bara Banki ,Uttar Pradesh,64.4,67.2,94.9,74.7,78.3,78.2,33.7,30.1,71.2,64.8,93.4,1.3
Faizabad ,Uttar Pradesh,68.7,82.9,88.6,71.2,86.4,82.5,27.7,62.7,85.1,65.1,97.3,1.4
Ambedkar Nagar ,Uttar Pradesh,75.1,,90.0,76.7,84.9,83.5,28.3,55.6,84.9,80.0,91.0,0.0
Bahraich ,Uttar Pradesh,51.8,62.2,89.4,65.2,64.2,70.3,26.3,35.2,59.7,69.4,96.1,0.8
Shrawasti ,Uttar Pradesh,59.6,69.8,92.2,65.5,76.1,78.1,33.1,33.4,70.9,81.7,98.7,0.0
Balrampur ,Uttar Pradesh,57.4,67.9,86.4,64.7,67.5,74.5,30.8,34.0,64.2,76.2,88.1,0.8
Gonda ,Uttar Pradesh,59.9,66.2,90.5,70.5,70.5,71.4,29.0,21.1,63.5,74.5,97.8,1.1
Siddharthnagar ,Uttar Pradesh,65.1,68.1,97.1,70.1,77.1,87.9,33.8,53.6,74.6,82.7,97.4,0.0
Basti ,Uttar Pradesh,73.8,77.4,93.1,84.6,76.3,86.0,33.1,45.6,76.3,78.5,96.5,2.2
Sant Kabir Nagar ,Uttar Pradesh,80.2,82.9,95.5,85.1,87.8,95.5,42.4,37.7,88.0,84.4,97.2,0.0
Mahrajganj ,Uttar Pradesh,76.2,82.8,96.8,82.7,92.4,91.9,30.1,68.5,87.4,81.1,94.8,0.0
Gorakhpur ,Uttar Pradesh,67.7,69.3,97.2,74.9,78.3,85.5,23.9,58.3,76.0,72.6,93.6,4.8
Kushinagar ,Uttar Pradesh,65.4,82.9,91.9,72.7,85.0,87.7,31.9,44.1,83.9,77.3,97.4,0.0
Deoria ,Uttar Pradesh,64.2,73.2,92.6,73.9,79.0,77.4,26.5,61.7,77.9,68.0,98.9,0.0
Azamgarh ,Uttar Pradesh,64.5,80.3,92.2,69.8,82.1,80.0,16.2,43.2,79.8,67.8,86.4,8.8
Mau ,Uttar Pradesh,59.1,63.3,98.8,73.2,74.6,76.7,19.5,41.3,69.3,84.5,97.1,1.6
Ballia ,Uttar Pradesh,62.2,65.7,96.8,67.7,69.4,80.3,20.3,31.5,63.4,75.7,94.1,2.8
Jaunpur ,Uttar Pradesh,75.1,83.6,91.4,78.7,79.9,81.1,24.4,47.1,78.9,76.1,97.4,1.3
Ghazipur ,Uttar Pradesh,60.8,69.9,95.8,67.6,71.0,76.5,20.9,33.9,70.0,71.8,97.4,2.6
Chandauli ,Uttar Pradesh,70.6,82.6,90.2,72.6,82.6,82.7,24.0,64.0,81.5,75.9,100.0,0.0
Varanasi ,Uttar Pradesh,79.3,78.6,96.1,87.1,84.3,89.5,27.4,48.4,84.3,80.5,97.7,2.3
Sant Ravidas Nagar (Bhadohi) ,Uttar Pradesh,62.2,72.1,87.8,69.1,78.6,80.6,27.3,59.1,77.8,63.9,96.5,0.0
Mirzapur ,Uttar Pradesh,68.3,83.3,92.9,74.0,77.7,80.9,30.0,55.5,77.7,72.0,100.0,0.0
Sonbhadra ,Uttar Pradesh,72.7,82.3,93.6,80.2,83.6,81.5,20.5,51.4,83.6,83.1,98.9,0.0
Etah ,Uttar Pradesh,55.5,71.9,98.1,60.5,75.0,88.9,37.1,19.1,69.0,69.6,90.2,1.1
Kanshiram Nagar ,Uttar Pradesh,69.2,74.6,94.9,72.1,82.4,87.2,30.1,26.4,77.6,59.6,93.1,1.8
Amethi ,Uttar Pradesh,75.9,86.8,96.8,78.7,82.0,85.7,27.5,65.2,82.0,80.7,95.9,0.0
Budaun ,Uttar Pradesh,69.5,74.5,93.9,73.1,82.6,86.5,40.5,35.5,64.9,71.7,97.9,1.1
Ghaziabad ,Uttar Pradesh,68.5,,90.2,73.2,79.1,82.0,27.4,64.7,77.8,64.5,,
Hapur ,Uttar Pradesh,84.4,89.1,97.2,88.3,94.3,92.4,41.6,83.6,94.3,82.1,93.5,2.0
Moradabad ,Uttar Pradesh,84.5,90.6,97.2,84.5,90.2,89.1,18.0,61.2,85.9,74.1,96.1,1.3
Muzaffarnagar ,Uttar Pradesh,69.5,79.6,91.1,74.1,75.5,77.6,23.6,62.2,75.5,72.9,93.8,4.1
Rae Bareli ,Uttar Pradesh,71.4,77.2,93.9,76.6,81.8,82.8,33.9,27.2,77.0,73.4,97.3,1.3
Sambhal ,Uttar Pradesh,83.0,89.6,95.7,84.7,89.6,91.3,27.7,73.5,88.7,72.7,86.1,0.8
Shamli ,Uttar Pradesh,91.1,95.3,97.5,93.5,91.1,94.6,40.4,76.9,92.5,84.0,93.0,0.0
Sultanpur ,Uttar Pradesh,80.2,92.7,94.5,81.3,87.8,89.3,33.3,55.5,87.8,80.5,93.8,1.2
Uttarkashi ,Uttarakhand,81.8,91.5,89.9,86.2,94.3,95.8,29.4,44.4,94.3,55.6,100.0,0.0
Chamoli ,Uttarakhand,85.0,91.1,100.0,87.9,92.0,92.0,57.9,21.4,90.4,49.9,98.4,0.0
Rudraprayag ,Uttarakhand,91.4,94.0,97.1,91.4,95.7,95.5,32.7,43.6,95.7,71.9,98.6,0.0
Tehri Garhwal ,Uttarakhand,83.0,,100.0,85.0,98.6,98.0,38.6,10.4,96.5,59.5,97.3,0.0
Dehradun ,Uttarakhand,,,,,,,,,,61.0,,
Garhwal ,Uttarakhand,,,,,,,,,,48.3,,
Pithoragarh ,Uttarakhand,96.0,,100.0,96.0,100.0,100.0,27.5,43.4,100.0,69.6,97.8,2.2
Bageshwar ,Uttarakhand,,,,,,,,,,37.0,,
Almora ,Uttarakhand,,,,,,,,,,51.6,,
Champawat ,Uttarakhand,91.9,91.6,98.0,93.9,97.2,98.7,37.7,46.7,94.1,56.9,97.0,3.0
Nainital ,Uttarakhand,74.1,73.5,97.4,84.8,87.7,84.4,31.0,20.3,83.5,45.8,94.5,1.7
Udham Singh Nagar ,Uttarakhand,83.2,92.2,94.8,83.2,90.1,90.1,35.8,43.9,86.2,52.1,98.6,0.0
Hardwar ,Uttarakhand,76.5,,92.6,84.1,86.2,89.4,36.1,23.2,80.7,50.8,87.6,9.1
Darjiling ,West Bengal,94.2,94.2,100.0,95.9,98.3,100.0,57.6,5.4,94.7,76.2,92.0,3.7
Jalpaiguri ,West Bengal,87.9,96.3,98.3,89.5,94.8,96.6,53.6,0.0,94.8,65.5,100.0,0.0
Koch Bihar ,West Bengal,94.2,97.1,98.5,97.0,94.2,97.0,50.0,0.0,91.1,61.4,100.0,0.0
Uttar Dinajpur ,West Bengal,84.4,86.4,97.5,88.4,92.4,88.5,51.9,0.0,91.3,67.4,97.2,2.9
Dakshin Dinajpur ,West Bengal,92.6,93.0,100.0,92.6,96.7,96.7,44.7,0.0,92.6,67.2,100.0,0.0
Maldah ,West Bengal,87.2,93.1,100.0,90.2,94.1,93.8,45.7,0.0,92.2,57.7,100.0,0.0
Murshidabad ,West Bengal,90.0,89.7,97.7,94.7,95.4,96.1,30.9,1.4,94.2,67.7,100.0,0.0
Birbhum ,West Bengal,81.6,90.9,95.2,84.8,98.4,98.4,43.3,0.0,96.8,58.4,96.9,0.0
Nadia ,West Bengal,,,,,,,,,,74.0,,
North Twenty Four Pargana ,West Bengal,,,,,,,,,,78.1,,
Hugli ,West Bengal,,,,,,,,,,75.0,,
Bankura ,West Bengal,,,,,,,,,,73.4,,
Puruliya ,West Bengal,84.7,87.0,96.6,88.2,91.6,93.2,52.0,3.3,93.1,68.0,90.9,2.2
Haora ,West Bengal,,,,,,,,,,70.1,,
Kolkata ,West Bengal,,,,,,,,,,58.0,,
South Twenty Four Pargana ,West Bengal,91.7,96.3,100.0,95.1,94.9,94.8,37.4,1.7,95.0,58.8,100.0,0.0
Paschim Medinipur ,West Bengal,76.9,86.8,100.0,80.1,93.7,89.3,40.6,0.0,89.0,78.3,93.3,0.0
Purba Medinipur ,West Bengal,88.4,,100.0,90.6,91.7,91.7,52.5,9.5,90.0,83.7,98.0,0.0
Paschim Barddhaman ,West Bengal,62.4,69.7,95.9,62.4,90.8,89.4,48.6,0.0,90.3,60.6,97.6,2.4
